_id,name,property_type,room_type,bed_type,bedrooms,market,country
10006546,Ribeira Charming Duplex,House,Entire home/apt,Real Bed,3,Porto,Portugal
10009999,Horto flat with small garden,Apartment,Entire home/apt,Real Bed,1,Rio De Janeiro,Brazil
1001265,Ocean View Waikiki Marina w/prkg,Condominium,Entire home/apt,Real Bed,1,Oahu,United States
10021707,Private Room in Bushwick,Apartment,Private room,Real Bed,1,New York,United States
10030955,Apt Linda Vista Lagoa - Rio,Apartment,Private room,Real Bed,1,Rio De Janeiro,Brazil
1003530,New York City - Upper West Side Apt,Apartment,Private room,Real Bed,1,New York,United States
10038496,Copacabana Apartment Posto 6,Apartment,Entire home/apt,Real Bed,1,Rio De Janeiro,Brazil
10047964,Charming Flat in Downtown Moda,House,Entire home/apt,Real Bed,2,Istanbul,Turkey
10051164,Catete's Colonial Big Hause Room B,House,Private room,Real Bed,1,Rio De Janeiro,Brazil
10057447,Modern Spacious 1 Bedroom Loft,Apartment,Entire home/apt,Real Bed,1,Montreal,Canada
10057826,Deluxe Loft Suite,Apartment,Entire home/apt,Real Bed,0,New York,United States
10059244,Ligne verte - à 15 min de métro du centre ville.,Apartment,Entire home/apt,Real Bed,0,Montreal,Canada
10059872,"Soho Cozy, Spacious and Convenient",Apartment,Entire home/apt,Real Bed,1,Hong Kong,Hong Kong
10066928,3 chambres au coeur du Plateau,Apartment,Entire home/apt,Real Bed,3,Montreal,Canada
10069642,Ótimo Apto proximo Parque Olimpico,Apartment,Entire home/apt,Real Bed,2,Rio De Janeiro,Brazil
10082307,Double Room en-suite (307),Apartment,Private room,Real Bed,1,Hong Kong,Hong Kong
10082422,Nice room in Barcelona Center,Apartment,Private room,Real Bed,1,Barcelona,Spain
10083468,Be Happy in Porto,Loft,Entire home/apt,Real Bed,1,Porto,Portugal
10084023,City center private room with bed,Guesthouse,Private room,Futon,1,Hong Kong,Hong Kong
10091713,Surry Hills Studio - Your Perfect Base in Sydney,Apartment,Entire home/apt,Real Bed,0,Sydney,Australia
10092679,Cozy house at Beyoğlu,Apartment,Private room,Pull-out Sofa,1,Istanbul,Turkey
10096773,Easy 1 Bedroom in Chelsea,Apartment,Entire home/apt,Real Bed,1,New York,United States
10108388,Sydney Hyde Park City Apartment (checkin from 6am),Apartment,Entire home/apt,Real Bed,1,Sydney,Australia
10109896,THE Place to See Sydney's FIREWORKS,House,Entire home/apt,Real Bed,1,Sydney,Australia
10112159,Downtown Oporto Inn (room cleaning),Hostel,Private room,Real Bed,1,Porto,Portugal
10115921,GOLF ROYAL RESİDENCE TAXİM(1+1):3,Serviced apartment,Entire home/apt,Real Bed,2,Istanbul,Turkey
10116256,GOLF ROYAL RESIDENCE SUİTES(2+1)-2,Serviced apartment,Entire home/apt,Real Bed,2,Istanbul,Turkey
10116578,Apartamento zona sul do RJ,Apartment,Entire home/apt,Real Bed,3,Rio De Janeiro,Brazil
10117617,A Casa Alegre é um apartamento T1.,Apartment,Entire home/apt,Real Bed,1,Porto,Portugal
10120414,The LES Apartment,Apartment,Entire home/apt,Real Bed,1,New York,United States
10133350,2 bedroom Upper east side,Apartment,Entire home/apt,Real Bed,2,New York,United States
10133554,Double and triple rooms Blue mosque,Bed and breakfast,Private room,Real Bed,1,Istanbul,Turkey
10138784,Room Close to LGA and 35 mins to Times Square,Apartment,Private room,Real Bed,1,New York,United States
10140368,A bedroom far away from home,Apartment,Private room,Real Bed,1,New York,United States
10141950,"Big, Bright & Convenient Sheung Wan",Apartment,Entire home/apt,Real Bed,0,Hong Kong,Hong Kong
10166883,Large railroad style 3 bedroom apt in Manhattan!,Apartment,Entire home/apt,Real Bed,3,New York,United States
10166986,Resort-like living in Williamsburg,Apartment,Entire home/apt,Real Bed,2,New York,United States
1016739,Private Room (2)  in Guest House at Coogee Beach,House,Private room,Real Bed,1,Sydney,Australia
10184012,Apto semi mobiliado,Apartment,Entire home/apt,Real Bed,2,Rio De Janeiro,Brazil
10186755,Roof double bed private room,Loft,Private room,Real Bed,1,Istanbul,Turkey
1019168,"Cozy Nest, heart of the Plateau",Apartment,Private room,Real Bed,1,Montreal,Canada
10199760,Uygun nezih daire,Apartment,Entire home/apt,Real Bed,1,Istanbul,Turkey
10201975,Ipanema: moderno apê 2BR + garagem,Apartment,Entire home/apt,Real Bed,2,Rio De Janeiro,Brazil
10209136,"Friendly Apartment, 10m from Manly",Apartment,Private room,Real Bed,1,Sydney,Australia
10213499,Great studio opp. Narrabeen Lake,Apartment,Entire home/apt,Real Bed,0,Sydney,Australia
10215858,Cozy Queen Guest Room&My,Apartment,Private room,Real Bed,1,Hong Kong,Hong Kong
10220130,Cozy aptartment in Recreio (near Olympic Venues),Apartment,Entire home/apt,Real Bed,3,Rio De Janeiro,Brazil
1022200,"Kailua-Kona, Kona Coast II 2b condo",Apartment,Entire home/apt,Real Bed,2,The Big Island,United States
10227000,"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",Condominium,Entire home/apt,Real Bed,1,Maui,United States
10228731,Quarto inteiro na Tijuca,Apartment,Private room,Real Bed,1,Rio De Janeiro,Brazil
10233856,Twin Bed room+MTR Mongkok shopping&My,Apartment,Private room,Real Bed,1,Hong Kong,Hong Kong
10240767,Cozy double bed room 東涌鄉村雅緻雙人房,Guesthouse,Private room,Real Bed,1,Hong Kong,Hong Kong
10264100,Your spot in Copacabana,Apartment,Entire home/apt,Real Bed,2,Rio De Janeiro,Brazil
10266175,Makaha Valley Paradise with OceanView,Condominium,Entire home/apt,Pull-out Sofa,1,Oahu,United States
10267144,IPANEMA LUXURY PENTHOUSE with MAID,Apartment,Entire home/apt,Real Bed,1,Rio De Janeiro,Brazil
10269320,FloresRooms 3T,Apartment,Entire home/apt,Real Bed,0,Porto,Portugal
10280433,~Ao Lele~ Flying Cloud,Treehouse,Entire home/apt,Real Bed,1,The Big Island,United States
10295352,"Amazing and Big Apt, Ipanema Beach.",Apartment,Entire home/apt,Real Bed,3,Rio De Janeiro,Brazil
10299095,Small Room w Bathroom Flamengo Rio de Janeiro,Apartment,Private room,Real Bed,1,Rio De Janeiro,Brazil
102995,UWS Brownstone Near Central Park,Apartment,Entire home/apt,Real Bed,1,New York,United States
