_id,review_scores
10006546,"{'review_scores_accuracy': 9, 'review_scores_cleanliness': 9, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10}"
10009999,{}
1001265,"{'review_scores_accuracy': 9, 'review_scores_cleanliness': 8, 'review_scores_checkin': 9, 'review_scores_communication': 9, 'review_scores_location': 10}"
10021707,"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 8}"
10030955,{}
1003530,"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 9, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10}"
10038496,"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10}"
10047964,"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10}"
10051164,"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 6, 'review_scores_checkin': 8, 'review_scores_communication': 8, 'review_scores_location': 8}"
10057447,{}
10057826,"{'review_scores_accuracy': 9, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 8, 'review_scores_location': 9}"
10059244,{}
10059872,"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10}"
10066928,{}
10069642,{}
10082307,{}
10082422,{}
10083468,"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10}"
10084023,"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 8, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10}"
10091713,"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 9, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10}"
10092679,"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 9, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 9}"
10096773,"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10}"
10108388,"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10}"
10109896,{}
10112159,{}
10115921,"{'review_scores_accuracy': 7, 'review_scores_cleanliness': 7, 'review_scores_checkin': 8, 'review_scores_communication': 8, 'review_scores_location': 10}"
10116256,{}
10116578,{}
